imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0176694,0.0,/43VrmHOChLcAOG9S5tIFdsxr3u8.jpg,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,116369.0,en,Az ember tragédiája,"Jankovics's adaptation of the eponymous play is divided into multiple parts, and depicts the creation and fall of Man throughout history.",2.092,/eajizCvTaeyAf2kkUfMdEgIQ5fQ.jpg,"[{'id': 55673, 'logo_path': None, 'name': 'Pannóniafilm', 'origin_country': ''}, {'id': 44277, 'logo_path': None, 'name': 'Hungarian Filmlab', 'origin_country': 'HU'}, {'id': 55667, 'logo_path': None, 'name': 'Észt Mérj', 'origin_country': ''}, {'id': 55668, 'logo_path': None, 'name': 'Arteam Produkciós Iroda', 'origin_country': 'HU'}, {'id': 55669, 'logo_path': None, 'name': 'Focus-Fox Studio', 'origin_country': ''}, {'id': 55670, 'logo_path': None, 'name': 'Intersound', 'origin_country': ''}, {'id': 55671, 'logo_path': None, 'name': 'Kodak Cinelabs Hungary', 'origin_country': 'HU'}, {'id': 55672, 'logo_path': None, 'name': 'Magyar Rajzfilm Produkciós Iroda Kft.', 'origin_country': ''}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",2011-11-27,0.0,166.0,"[{'english_name': 'Hungarian', 'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,The Tragedy of Man,0.0,7.5,13.0,
tt0210470,0.0,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",,239465.0,en,50 Feet of String,"A 12 section film that invites viewers into a more visceral and less verbally analytical state of mind. The “action,” small events like the mail arriving, the storm coming, and the grass getting mowed, are secondary to the way of perceiving those events. In many ways this film reaches back into a kind of personal memory one might recall from early childhood. - Leighton Pierce",0.6000000000000001,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-01-01,0.0,53.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,50 Feet of String,0.0,6.0,3.0,
tt0323808,0.0,,,7750000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://www.thewickertreemovie.com/,79544.0,en,The Wicker Tree,"Director Robin Hardy's reimagining of his eerie 1973 film, The Wicker Man.  Young Christians Beth and Steve, a gospel singer and her cowboy boyfriend, leave Texas to preach door-to-door in Scotland. When, after initial abuse, they are welcomed with joy and elation to Tressock, the border fiefdom of Sir Lachlan Morrison, they assume their hosts simply want to hear more about Jesus. How innocent and wrong they are.",4.19,/vAmjzxeMWKkQRo7Wz6mUupZ4vfN.jpg,"[{'id': 24036, 'logo_path': None, 'name': 'Euro Center Productions', 'origin_country': ''}, {'id': 24037, 'logo_path': None, 'name': 'Tressock Films', 'origin_country': ''}, {'id': 632, 'logo_path': None, 'name': 'British Lion Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2011-08-27,0.0,96.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Accept our sacrifice,The Wicker Tree,0.0,3.9,40.0,R
tt0372538,0.0,,,5000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.spythemovie.com/,323867.0,en,Spy,"SPYING TURNS TO SECURITY DETAIL AS A YOUNG COUPLE AVOIDS MURDER, THE MOB, AND THE PAST. Human cloning, surveillance, and a life threatening relationship take center stage in this romantic thriller. Re-Released in the fall of 2012, SPY tells the story of Dante LeClair (Vincent Pastore) who was forced by mob boss (Frank Vincent) to fund illegal and unethical medical experiments after his daughter Susan (Lora Kojovic) was injured.",1.924,/fxFjBP55X6ftgXfMSrhgLodWwjp.jpg,"[{'id': 108276, 'logo_path': None, 'name': 'Spy Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-08-09,0.0,110.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Spy,0.0,7.0,1.0,
tt0376136,0.0,/lsGygPY9Qt2OclZ67hAYoHLQhAf.jpg,,45000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,23514.0,en,The Rum Diary,"Tired of the noise and madness of New York and the crushing conventions of late Eisenhower-era America, itinerant journalist Paul Kemp travels to the pristine island of Puerto Rico to write for a local San Juan newspaper run by the downtrodden editor Lotterman. Adopting the rum-soaked lifestyle of the late ‘50s version of Hemingway’s 'The Lost Generation', Paul soon becomes entangled with a very attractive American woman and her fiancée, a businessman involved in shady property development deals.  It is within this world that Kemp ultimately discovers his true voice as a writer and integrity as a man.",31.765,/h0q4RUuc1CbKWwEtH3nt7KPcPWL.jpg,"[{'id': 816, 'logo_path': None, 'name': 'FilmEngine', 'origin_country': ''}, {'id': 3281, 'logo_path': '/8tMybAieh64uzvm8knSjXOFX8Qc.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 2691, 'logo_path': '/Uas6Nps2Y58s9eRyoTHXgfEuZj.png', 'name': 'Infinitum Nihil', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-10-13,24000000.0,120.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,One part outrage. One part justice. Three parts rum. Mix well.,The Rum Diary,0.0,5.9,962.0,R
tt0377981,0.0,/w3LLngJIAA1R7Mp2S3G0HZl2R3H.jpg,"{'id': 493668, 'name': 'Gnomeo & Juliet Collection', 'poster_path': '/wi7GqaMzxaCcbFMcZ0ZepsMYXrW.jpg', 'backdrop_path': '/341aCT1KYMgik5SfehuhbJnM7fK.jpg'}",36000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",http://gnomeoandjuliet.com/,45772.0,en,Gnomeo & Juliet,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",36.563,/vVQwgfS9gSFviVT4gS7tZAmhRFc.jpg,"[{'id': 9195, 'logo_path': '/ou5BUbtulr6tIt699q6xJiEQTR9.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}, {'id': 2885, 'logo_path': None, 'name': 'Starz Animation', 'origin_country': ''}, {'id': 28320, 'logo_path': '/5UPGj1MwzrtxclRGTfeiQ1J0zVk.png', 'name': 'Rocket Pictures', 'origin_country': 'GB'}, {'id': 10280, 'logo_path': None, 'name': 'Arc Productions', 'origin_country': ''}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2011-01-13,189712432.0,84.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A LITTLE ADVENTURE GOES A LAWN WAY.,Gnomeo & Juliet,0.0,5.8,1639.0,G
tt0409847,0.0,/f1jJPQ0RhgSOOfBprCJd9ZJMbet.jpg,,163000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 37, 'name': 'Western'}]",http://www.cowboysandaliensmovie.com/,49849.0,en,Cowboys & Aliens,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",55.077,/9uZsGCP4rvOHVGCpMpYq5gNCuNI.jpg,"[{'id': 7, 'logo_path': '/vru2SssLX3FPhnKZGtYw00pVIS9.png', 'name': 'DreamWorks Pictures', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 7294, 'logo_path': '/kK4PRgceWp9KNrycD8xx8seWxYU.png', 'name': 'Reliance Entertainment', 'origin_country': 'IN'}, {'id': 7295, 'logo_path': '/5MYE96QiE5a5oFhXxFb4y8ILSpw.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 23, 'logo_path': '/mkxNjThahj5pvntvYKVpMbWXm3D.png', 'name': 'Imagine Entertainment', 'origin_country': 'US'}, {'id': 7296, 'logo_path': None, 'name': 'K/O Paper Products', 'origin_country': 'US'}, {'id': 7297, 'logo_path': '/l29JYQVZbTcjZXoz4CUYFpKRmM3.png', 'name': 'Fairview Entertainment', 'origin_country': 'US'}, {'id': 124910, 'logo_path': None, 'name': 'Platinum Studios', 'origin_country': ''}]","[{'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-07-29,174822325.0,119.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,First Contact. Last Stand.,Cowboys & Aliens,0.0,5.6,4318.0,PG-13
tt0433035,0.0,/4f0Kj0QwPui5ydu1UavsnvP1m1o.jpg,,110000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,39254.0,en,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",147.856,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,"[{'id': 9195, 'logo_path': '/ou5BUbtulr6tIt699q6xJiEQTR9.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}, {'id': 11395, 'logo_path': '/5vSBzUwnCcaF90ZTchG3LwRKQ2M.png', 'name': 'ImageMovers', 'origin_country': 'US'}, {'id': 12087, 'logo_path': None, 'name': 'Angry Films', 'origin_country': ''}, {'id': 76067, 'logo_path': None, 'name': 'Kontsept Film Company', 'origin_country': ''}, {'id': 76043, 'logo_path': '/9RO2vbQ67otPrBLXCaC8UMp3Qat.png', 'name': 'Revolution Sun Studios', 'origin_country': 'US'}, {'id': 7, 'logo_path': '/vru2SssLX3FPhnKZGtYw00pVIS9.png', 'name': 'DreamWorks Pictures', 'origin_country': 'US'}, {'id': 7294, 'logo_path': '/kK4PRgceWp9KNrycD8xx8seWxYU.png', 'name': 'Reliance Entertainment', 'origin_country': 'IN'}, {'id': 2575, 'logo_path': '/9YJrHYlcfHtwtulkFMAies3aFEl.png', 'name': '21 Laps Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'IN', 'name': 'India'}]",2011-09-28,299268508.0,127.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"If you get one shot, make it real.",Real Steel,0.0,6.9,6667.0,PG-13
tt0433397,0.0,,,1500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.satinmovie.com/,50024.0,en,Satin,"A washed up Vegas lounge singer, Jack Satin (Hamilton von Watts), has no money, no job, and delusional aspirations of fame. When Jack is forced to leave Vegas, he packs up his old Cadillac and hits the road for Atlantic City. But his car dies in the desert and Jack is left stranded in the small town of Lost Springs. There, Jack meets jazz legend turned mechanic, Doc Bishop (Robert Guillaume), who helps him with his car trouble. Although Jack is far from the stage, he begins to find himself feeling at home in the small town. When he meets local bar owner, Lauren Wells (Melissa Joan Hart), Jack starts to see there is more to life than chasing fame and fortune. Doc encourages Jack to explore his true love of music, while Lauren provides the audience he has always wanted. But as Jack realizes this town has more to offer him than the bright lights of the big city, his Vegas past catches up with him -- what unfolds is comedy at the crossroads of life.",1.4,/fT60zzgWVZh8I1gNMVRryptucfE.jpg,[],[],2011-03-01,0.0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,His one man show is about to become a two part harmony.,Satin,0.0,3.5,2.0,
